N°;Partido Político;Candidato Presidencial
1;Fuerza Popular;Keiko Fujimori Higuchi
2;Renovación Popular;Rafael López Aliaga
3;Alianza para el Progreso;César Acuńa Peralta
4;Podemos Perú;José Luna Gálvez
5;Somos Perú;George Forsyth Sommer
6;Avanza País;José Williams Zapata
7;Partido Morado;Mesías Guevara Amasifuén
8;Juntos por el Perú;Roberto Sánchez Palomino
9;Partido del Buen Gobierno;Jorge Nieto Montesinos
10;Ahora Nación;Alfonso López-Chau Nava
11;Partido Aprista Peruano;Enrique Valderrama Peńa
12;Frente de la Esperanza;Fernando Olivera Vega
13;Perú Primero;Martín Vizcarra Cornejo
14;Libertad Popular;Rafael Belaúnde Llosa
15;País para Todos;Carlos Álvarez Loayza
16;Primero la Gente;Marisol Pérez Tello
17;Fe en el Perú;Álvaro Paz de la Barra
18;Perú Libre;Vladimir Cerrón Rojas
19;Cooperación Popular;Yonhy Lescano Ancieta
20;Perú Moderno;Carlos Jaico Carranza
21;Integridad Democrática;Wolfgang Grozo Costa
